,,,,,,,,,,,,,,,,,,
Análisis de Color,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shade History Report,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dye code,Dye name,"Concentration, %","Proportion, %",,,Shade name,338VA,,,,,,Tolerances,,,,,
52000808,Foron Navy S-RD,1.39584%,55.9%,,,Dyeing Class,IBNTNPG,,,,,,dE =,L,C,Hue,,
52000813,Foron Bri Yellow SE-RD,0.50938%,20.4%,,,Substrate,IBN,,,,,,1.20,0.69,0.69,0.69,,
52110699,Foron Orange SE-RDL,0.58959%,23.6%,,,Count / Ply,470x3,,,,,,,-0.69,-0.69,-0.69,,
,,,,,,,,,,,,,,,,,,
,[ Dyes ],2.49481%,100%,,,Fibre Type,G002074,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"L, a, b (lot - std)",,,,,,,,,,"L, C, H",,,,,,,,
,,,,,,,,,,,,,,,,,,
D65,L,a,b,,,Chroma,Hue,,,Lightness,Chroma,Hue,CMC (2:1),,,,,
Std,47.19,-7.26,6.67,,,9.86,137.43,,,0.36,0.00,-0.66,0.75,,D65,,,
Lot,47.94,-6.83,7.11,,,9.86,133.85,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
D,dL,da,db,,,dC,dH,,,SL,SC,h,SH,T,F,,,
,0.75,0.43,0.44,,,0.00,-0.62,,,1.055,1.195,137.43,0.930,0.757,0.912,,,
,Claro (Thin),Rojo,Amarillo,,,Brighter,Yellower (Redder),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Acción,Aumentar [ ],Aumentar Verde,Aumentar Azul,,,Duller,Bluer (Greener),,,ok,,,,,,,,
,2%,6%,7%,,,0%,6%,,,Índice de metamerismo (MI),,,,,,,,
,,,,,,,,,,0.80,,,1.20,,,,,
,,,,,,,,,,,,,,,,,,
TL84,L,a,b,,,Chroma,Hue,,,Lightness,Chroma,Hue,CMC (2:1),,,,,
Std,46.80,-7.62,6.31,,,9.89,140.37,,,0.52,-0.01,-1.31,1.41,,TL84,,,
Lot,47.89,-6.77,7.19,,,9.88,133.28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
D,dL,da,db,,,dC,dH,,,SL,SC,h,SH,T,F,,,
,1.09,0.85,0.88,,,-0.02,-1.22,,,1.050,1.197,140.37,0.933,0.759,0.914,,,
,Claro (Thin),Rojo,Amarillo,,,Duller,Yellower (Redder),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Acción,Aumentar [ ],Aumentar Verde,Aumentar Azul,,,Brighter,Bluer (Greener),,,0.66,,,,,,,,
,2%,11%,14%,,,0%,12%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CWF,L,a,b,,,Chroma,Hue,,,Lightness,Chroma,Hue,CMC (2:1),,,,,
Std,46.37,-6.45,5.59,,,8.54,139.09,,,0.62,0.28,-1.78,1.91,,CWF,,,
Lot,47.67,-5.52,6.92,,,8.85,128.58,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
D,dL,da,db,,,dC,dH,,,SL,SC,h,SH,T,F,,,
,1.30,0.93,1.33,,,0.32,-1.59,,,1.045,1.128,139.09,0.893,0.758,0.858,,,
,Claro (Thin),Rojo,Amarillo,,,Brighter,Yellower (Redder),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Acción,Aumentar [ ],Aumentar Verde,Aumentar Azul,,,Duller,Bluer (Greener),,,,,,,,,,,
,3%,14%,24%,,,3%,16%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
New recipes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dye code,Dye name,"Concentration, %","Proportion, %",,,[ Dye ],"Prop., %",,,[ Dye ],"Prop., %",,,,,,,
52000808,Foron Navy S-RD,1.42000%,55.9%,2%,,1.49000%,56.4%,7%,,1.42000%,55.5%,2%,,,,,,
52000810,Foron Rubine SE-RD,0.52000%,20.5%,2%,,0.52000%,19.7%,2%,,0.54000%,21.1%,6%,,,,,,
52110699,Foron Orange SE-RDL,0.60000%,23.6%,2%,,0.63000%,23.9%,7%,,0.60000%,23.4%,2%,,,,,,
,,,,,,,,,,,,,,,,,,
,[ Dyes ],2.54000%,100%,,,2.64000%,100%,,,2.56000%,100%,,,,,,,
,,2%,,,,6%,,,,3%,,,,,,,,
,,,,,,,,,,,,,,,,,,
Condiciones,,,,,,,,Gráfico,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Claro (Thin),Aumentar [ ],Duller,Brighter,,100,,,,,,,,,,,,
,Oscuro (Full),Disminuir [ ],Brighter,Duller,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Amarillo,Aumentar Amarillo,Disminuir Amarillo,,,,,,,,,,,,,,,
,Azul,Aumentar Azul,Disminuir Azul,,,,,,,,,,,,,,,
,Verde ,Aumentar Verde,Disminuir Verde,,,,,,,,,,,,,,,
,Rojo,Aumentar Rojo,Disminuir Rojo,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Yellower (Greener),Bluer (Redder),,,,,,,,,,,,,,,,
,Yellower (Redder),Bluer (Greener),,,,,,,,,,,,,,,,
,Greener (Bluer),Redder (Yellower),,,,,,,,,,,,,,,,
,Greener (Yellower),Redder (Bluer),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Bluer (Redder),Yellower (Greener),,,,,,,,,,,,,,,,
,Bluer (Greener),Yellower (Redder),,,,,,,,,,,,,,,,
,Redder (Yellower),Greener (Bluer),,,,,,,,,,,,,,,,
,Redder (Bluer),Greener (Yellower),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
