Type,L,a,b,Chroma,,Parameter,Value,,,,L,a,b,Chroma,,Parameter,Value
Std,41.14,-4.8,-34.58,34.9115511,,dL,1.6000,,,,20.26,-4.54,2.36,5.116756785,,dL,-2.0000
Lot,42.74,-5.47,-34.24,34.67417627,,dC,-0.2374,,,,18.26,-3.55,-0.52,3.587882384,,dC,-1.5289
,,,,,,da,-0.6700,,,,,,,,,da,0.9900
,,,,,,db,0.3400,,,,,,,,,db,-2.8800
,,,,,,dH,-0.7128,,,,,,,,,dH,2.6338
,,,,,,SL,0.9766,,,,,,,,,SL,0.6115
,,,,,,SC,2.1664,,,,,,,,,SC,0.9439
,,,,,,h,262.0974,,,,,,,,,h,152.5335
,,,,,,T,0.6281,,,,,,,,,T,0.7565
,,,,,,F,0.9994,,,,,,,,,F,0.5149
,,,,,,SH,1.3612,,,,,,,,,SH,0.8256
,,,,,,dL_CMC,0.8192,,,,,,,,,dL_CMC,-1.6353
,,,,,,dC_CMC,-0.1096,,,,,,,,,dC_CMC,-1.6197
,,,,,,dH_CMC,-0.5237,,,,,,,,,dH_CMC,3.1901
,,,,,,DE_CMC,0.9784,,,,,,,,,DE_CMC,3.9338
